gazetteerId,placeName,sourcePlaceName,pleiadesId,pleiadesName,latitude,longitude,featureType,description,uri,confidence
GAZ00126,Pelusio,Pelusio,727192,Pelusium,31.049917,32.600128,unknown,"Pelusium was a fortified ancient city located at the mouth of the eastern-most branch of the Nile river. Its ruins, now land-locked and located approximately 30km southeast of Port Said, are known as Tell Farama.",http://pleiades.stoa.org/places/727192,confirmed
GAZ00127,Pithiae,Pithiae,857283,Pithiae,43.162916,40.334472,unknown,"An ancient place, cited: BAtlas 87 F1 Pityous",http://pleiades.stoa.org/places/857283,confirmed
GAZ00128,Psinaula,Psinaula,756628,Psinaula,26.653194,31.600403,unknown,"An ancient place, cited: BAtlas 77 F3 Psinabla",http://pleiades.stoa.org/places/756628,confirmed
GAZ00129,Rasin,Rasin,876684,Rasin,,,unknown,"An ancient place, cited: BAtlas 89 unlocated Rasin/Rhasios",http://pleiades.stoa.org/places/876684,confirmed
GAZ00130,Ratiaria,Ratiaria,207376,Ratiaria,43.809753,22.919689,unknown,"An ancient place, cited: BAtlas 21 E6 Ratiaria",http://pleiades.stoa.org/places/207376,confirmed
GAZ00131,Ravennae,Ravennae,393480,Ravenna,44.415718,12.196604,unknown,A city of northern Adriatic Italy that served as the capital of the Western Roman Empire from AD 402 until 476.,http://pleiades.stoa.org/places/393480,confirmed
GAZ00132,Regulbio,Regulbio,79654,Regulbium,51.379537,1.199796,unknown,"An ancient place, cited: BAtlas 8 I3 Regulbium",http://pleiades.stoa.org/places/79654,confirmed
GAZ00133,Rene,Rene,876686,Rene,,,unknown,"An ancient place, cited: BAtlas 89 unlocated Rene",http://pleiades.stoa.org/places/876686,confirmed
GAZ00134,Ripa Alta,Ripa Alta,270365,Ripa,,,unknown,"An ancient place, cited: BAtlas 27 unlocated Ripa",http://pleiades.stoa.org/places/270365,confirmed
GAZ00135,Ripaltha,Ripaltha,876689,Ripaltha,,,unknown,"An ancient place, cited: BAtlas 89 unlocated Ripaltha",http://pleiades.stoa.org/places/876689,confirmed
GAZ00136,Robatha,Robatha,699908,Robatha,,,unknown,"An ancient place, cited: BAtlas 71 unlocated Robatha/Robotha",http://pleiades.stoa.org/places/699908,confirmed
GAZ00137,Sabure siue Veterocariae,Sabure siue Veterocariae,697750,Veterocaria,30.314037,35.385319,unknown,"An ancient place, cited: BAtlas 71 A5 Sobora/Karkaria",http://pleiades.stoa.org/places/697750,confirmed
GAZ00138,Saltatha,Saltatha,674263,Saltatha,,,unknown,"An ancient place, cited: BAtlas 68 unlocated Saltatha",http://pleiades.stoa.org/places/674263,confirmed
GAZ00139,Sardis,Sardis Lydiae,550867,Sardis,38.488314,28.040286,unknown,Sardis was the capital of the Lydian Empire located in western Turkey.,http://pleiades.stoa.org/places/550867,confirmed
GAZ00140,Securisca,Securisca,216978,Securisca,43.702592,24.834372,unknown,"An ancient place, cited: BAtlas 22 B5 Securisca",http://pleiades.stoa.org/places/216978,confirmed
GAZ00141,Segeduno,Segeduno,89288,Segedunum,54.987873,-1.532381,unknown,"An ancient place, cited: BAtlas 9 F6 Segedunum",http://pleiades.stoa.org/places/89288,confirmed
