placeId,sourceNodeId,occurrenceId,placeName,pleiadesId,pleiadesName,latitude,longitude,featureType,document,chapter,office,unit,sourceLine,matchType,confidence,contextStatus,gisProvince,expectedProvince,hardProvince,softProvince,region
OCC000182,,OCC000182,Teriolis,187581,Teriolis,47.273341,11.242145,unknown,Occidentis,Dux Raetiae,Praefectus,legionis tertiae Italicae transvectioni specierum deputatae,1383,CONTEXT_EXACT,confirmed,SOFT_MATCH,RAETIA,Raetiae primae et secundae,,Raetiae primae et secundae,
OCC000183,,OCC000183,Quintanis,118919,Quintana,48.669403,13.078749,unknown,Occidentis,Dux Raetiae,Praefectus,alae primae Flaviae Raetorum,1384,,confirmed,SOFT_MATCH,RAETIA,Raetiae primae et secundae,,Raetiae primae et secundae,
OCC000185,,OCC000185,Abusina,118539,Abusina,48.850022,11.77073,unknown,Occidentis,Dux Raetiae,Tribunus,cohortis tertiae Brittorum,1386,CONTEXT_EXACT,confirmed,SOFT_MATCH,RAETIA,Raetiae primae et secundae,,Raetiae primae et secundae,
OCC000186,,OCC000186,Vallatio,119017,Vallatum,48.717024,11.493325,unknown,Occidentis,Dux Raetiae,Praefectus,alae secundae Valeriae singularis,1387,,confirmed,SOFT_MATCH,RAETIA,Raetiae primae et secundae,,Raetiae primae et secundae,
OCC000187,,OCC000187,Venaxamodorum,119019,Venaxamodurum,48.735955,11.184336,unknown,Occidentis,Dux Raetiae,Tribunus,cohortis sextae Valeriaae Raetorum,1388,CONTEXT_FUZZY,confirmed,SOFT_MATCH,RAETIA,Raetiae primae et secundae,,Raetiae primae et secundae,
OCC000188,,OCC000188,Parroduno,118903,Parrodunum,48.70045,11.016986,unknown,Occidentis,Dux Raetiae,Tribunus,cohortis primae Herculeae Raetorum,1389,CONTEXT_EXACT,confirmed,SOFT_MATCH,RAETIA,Raetiae primae et secundae,,Raetiae primae et secundae,
OCC000191,,OCC000191,Teriolis,187581,Teriolis,47.273341,11.242145,unknown,Occidentis,Dux Raetiae,Tribunus,gentis per Raetias deputatae,1392,CONTEXT_EXACT,confirmed,SOFT_MATCH,RAETIA,Raetiae primae et secundae,,Raetiae primae et secundae,
OCC000200,,OCC000200,Osismis,69511,Osismis,48.389734,-4.486847,unknown,Occidentis,Dux tractus Armoricani,Praefectus,militum Maurorum Osismiacorum,1426,EXACT_NO_CONTEXT,confirmed,NO_CONTEXT,LUGDUNENSIS II,tractus Armoricani et Neruicani,,tractus Armoricani et Neruicani,
OCC000202,,OCC000202,Aleto,69556,Aletum,48.635814,-2.027308,unknown,Occidentis,Dux tractus Armoricani,Praefectus,militum Martensium,1428,EXACT_NO_CONTEXT,confirmed,NO_POLYGON,,tractus Armoricani et Neruicani,,tractus Armoricani et Neruicani,
OCC000207,,OCC000207,Marcis in litore Saxonico,109140,Marcis,50.810751,1.70763,unknown,Occidentis,Dux Belgicae secundae,,Equites Dalmatae,1452,CONTEXT_EXACT,confirmed,SOFT_MATCH,BELGICA II,Balgicae secundae,,Balgicae secundae,
OCC000213,,OCC000213,Arbeia,89104,Arbeia,55.00434,-1.430879,unknown,Occidentis,Dux Britanniarum,Praefectus,numeri barcariorum Tigrisiensium,1474,CONTEXT_EXACT,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000215,,OCC000215,Concangios,89146,Concangios,54.855844,-1.571925,unknown,Occidentis,Dux Britanniarum,Praefectus,numeri vigilum,1476,CONTEXT_EXACT,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000216,,OCC000216,Lavatres,89224,Lavatris,54.517008,-2.007831,unknown,Occidentis,Dux Britanniarum,Praefectus,numeri exploratorum,1477,,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000219,,OCC000219,Maglone,89236,Maglone,54.807397,-3.15326,unknown,Occidentis,Dux Britanniarum,Praefectus,numeri Solensium,1480,CONTEXT_EXACT,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
OCC000223,,OCC000223,Segeduno,89288,Segedunum,54.987873,-1.532381,unknown,Occidentis,Dux Britanniarum,Tribunus,cohortis quartae Lingonum,1485,CONTEXT_EXACT,confirmed,SOFT_MATCH,BRITANNIAE I AND II,Britanniarum,,Britanniarum,
