pleiadesId,romanized,attested,language,nameType
177429,Acaunum,,,geographic
678010,Acca,,,geographic
265765,Acci,,,geographic
438658,Accienses,,,geographic
172142,Accion,,,geographic
678010,Accon,,ka,geographic
446208,Accua,,,geographic
393357,Acelum,,la,geographic
491507,Acerdos,,,geographic
442434,Acerina,,,geographic
442435,Aceronia,,,geographic
383542,Acerrae,,,geographic
432621,Acerrae,,,geographic
416762,Acerrae Vafriae,,la,geographic
442435,Acerronia,Acerronia,la,geographic
442436,Aceruntia,,,geographic
197057,Acervo,,,geographic
226505,Acesinus,,,geographic
462487,Acesta,Acesta,la,geographic
465838,Aceste,,,geographic
570028,Achaea,,,geographic
540585,Achaea Phthiotis,,,geographic
543602,Achaeoi,,,geographic
30202,Achaia,,,geographic
573048,Achaia,,,geographic
594942,Achaia,,,geographic
60403,Achaia,,,geographic
825220,Achaia,,,geographic
981502,Achaia,,,geographic
828238,Achaia Kome,,,geographic
897699,Achaiachala,,,geographic
573049,Achaiai,,,geographic
550398,Achaiion,,,geographic
349567,Achaimeneis,,,geographic
930162,Achaimenidai,,,geographic
825220,Achaioi,,,geographic
707437,Achaion Akte,,,geographic
229522,Achaion Limen,,,geographic
550399,Achaion Limen,,,geographic
857009,Achaious,,,geographic
599472,Acharaka,,,geographic
825226,Achardeos,,,geographic
589657,Acharna,,,geographic
579843,Acharnai,,,geographic
579842,Acharnai N,,,geographic
579843,Acharnai S,,,geographic
579842,Acharnaí,Ἀχαρναί,grc,geographic
543603,Acharne,,,geographic
540752,Acharrae,,,geographic
462065,Achates,,,geographic
540587,Acheloos,,,geographic
550400,Acheloos,,,geographic
573050,Acheloos,,,geographic
606270,Acheloos,,,geographic
530768,Achelous,,,geographic
554173,Achelous,,,geographic
585882,Acherdous,,,geographic
465839,Acherini,,,geographic
452248,Acheron,,,geographic
570030,Acheron,Ἀχέρων,grc,geographic
844848,Acheron,,,geographic
456777,Acherontini,,,geographic
844849,Acherousias Pr.,,,geographic
442436,Acheruntia,,,geographic
456023,Acheruntia,,,geographic
456023,Acheruntini,,,geographic
530770,Acherusia L.,,,geographic
432622,Acherusia Palus,,la,geographic
462103,Achesínēs,Ἀχεσίνης,grc,geographic
606268,Achilleia,,,geographic
465840,Achilleion,,,geographic
543604,Achilleion,,,geographic
550401,Achilleion,,,geographic
550401,Achilleion,Ἀχιλλήιον,grc,geographic
540589,Achilleion Sinus,,,geographic
226506,Achilleios Dromos,,,geographic
226677,Achilleios Dromos,,,geographic
570031,Achilleios Limen,,,geographic
857683,Achilleiou Kome,,,geographic
759532,Achilleos,,,geographic
226677,Achilleos Nesos,,,geographic
606268,Achilleus,,,geographic
606269,Achillikos,,,geographic
30203,Achindana,,,geographic
903021,Achmeta,,,geographic
543605,Achnai,,,geographic
543730,Achnai,,,geographic
324653,Acholla,,,geographic
39265,Achoma,,,geographic
39266,Achomai,,,geographic
39266,Achomeni,,,geographic
952059,Achriane,Ἀχριανή,grc,geographic
952059,Achrianos,Ἀχριανός,grc,geographic
814647,Achroua,,,geographic
530769,Achérōn,Ἀχέρων,grc,geographic
207408,Acidava,,,geographic
216691,Acidava,,,geographic
446209,Acidios,,,geographic
798038,Acina,,,geographic
805589,Acina,,,geographic
255950,Acinippo,,,geographic
442437,Aciris,,,geographic
462066,Acis,,,geographic
229523,Acisalitae,,,geographic
167613,Acitavones,,la,geographic
138167,Acitodunum,,,geographic
462067,Acium,,,geographic
92113,Acmodae,,,geographic
206897,Acmonia,,,geographic
615327,Acoridos Kome,,,geographic
442763,acra Iapygia,acra Iapygia,la,geographic
221972,Acrae,,,geographic
462068,Acrae,,,geographic
678010,Acre,,fr,geographic
462069,Acrillae,,la,geographic
481693,Acroceraunia Pr.,,,geographic
187244,Acronus L.,,,geographic
540663113,Acropoli pompeiana,,it,geographic
540663113,Acropolis,,en,geographic
39267,Actaei,,,geographic
101172,Actania,,,geographic
39267,Acthei,,,geographic
530771,Actium,,,geographic
530772,Actium Pr.,,,geographic
206874,Acumincum,,,geographic
167627,Acunum,,,geographic
59654,Acutri,,la,geographic
481694,Ad Acroceraunia,,,geographic
260478,Ad Adrum,,,geographic
412988,Ad Aesim,,,geographic
412989,Ad Aesim,,,geographic
311063,Ad Albulas,,,geographic
344283,Ad Amadum,,,geographic
344284,Ad Ammonem,,,geographic
677996,Ad Ammontem,,,geographic
79283,Ad Ansam,,,geographic
206875,Ad Aquas,,,geographic
240848,Ad Aquas,,,geographic
314844,Ad Aquas,,,geographic
314845,Ad Aquas,,,geographic
412990,Ad Aquas,Adaqvas,la,geographic
324654,Ad Aquas Caesaris,,,geographic
334471,Ad Aquas Herculis,,,geographic
422804,Ad Aquas Salvias,,,geographic
416763,Ad Aquilam,,,geographic
255951,Ad Aras,,,geographic
