placeId,placeName,nodeType,office,unit,chapter,document
PLC00121,Ripa Alta,equites,,Equites Dalmatae,Dux provinciae Valeriae,Occidentis
PLC00525,Ripaltha,ala,,Ala octava Flavia Francorum,Dux Mesopotamiae,Oriens
PLC00473,Robatha,equites,,Equites sagittarii indigenae,Dux Palaestinae,Oriens
PLC00456,Rosafa,equites,,Equites promoti indigenae,Dux Syriae,Oriens
PLC00205,Rotomago,unknown,Praefectus,militum Ursariensium,Dux tractus Armoricani,Occidentis
PLC00062,Rutupis,unknown,Praefectus,legionis secundae Augustae,Comes litoris Saxonici per Britanniam,Occidentis
PLC00469,Sabaiae,equites,,Equites promiti indigenae,Dux Palaestinae,Oriens
PLC00550,Sabbu,equites,,Equites sagittarii,Dux Armeniae,Oriens
PLC00474,Sabure siue Veterocariae,equites,,Equites primi felices Palaestini,Dux Palaestinae,Oriens
PLC00574,Sacidaua,cuneus,,Cuneus equitum scutariorum,Dux Scythiae,Oriens
PLC00050,Sala,unknown,Tribunus,cohortis .......,Comes Tingitaniae,Occidentis
PLC00248,Saletione,unknown,Praefectus,militum Pacensium,Dux Mogontiacensis,Occidentis
PLC00587,Salsouia,milites,,Milites quinti Constantini,Dux Scythiae,Oriens
PLC00422,Saltatha,equites,,Equites promoti indigenae,Dux Foenicis,Oriens
PLC00459,Salutaria,ala,,Ala prima Iuthungorum,Dux Syriae,Oriens
PLC00013,Saradiniae et Corsicae,civil,,"Rationalis summarum Trum provinciarum, id est Siciliae",Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00323,Sardis Lydiae,unknown,,Scutaria et armorum,Insignia viri illustris magistri officiorum,Oriens
PLC00552,Satala,unknown,Praefectus,legionis quintadecimae Apollinaris,Dux Armeniae,Oriens
PLC00015,Saviae,unknown,Praepositus,thesaurorum Siscianorum,Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00360,Scenas extra Gerasa,ala,,Ala prima Herculia,Comes limitis Aegypti,Oriens
PLC00357,Scenas Mandrorum,ala,,Ala septima Sarmatarum,Comes limitis Aegypti,Oriens
PLC00351,Scenas Ueteranorum,equites,,Equites Saraceni Thamudeni,Comes limitis Aegypti,Oriens
PLC00361,Scenas Veteranorum,ala,,Ala quinta Raetorum,Comes limitis Aegypti,Oriens
PLC00009,scordiscorum et armorum,unknown,,Sirmensis scutorum,Insignia viri illustris magistri officiorum,Occidentis
PLC00041,scriniarios etiam reliquos suprascriptorum scriniorum,unknown,,Primiscrinium largitionum privatarum,Insignia viri illustris comitis privatarum,Occidentis
PLC00327,Scythiam et Pontum,unknown,,per Moesiam,Insignia viri illustris comitis largitionum,Oriens
PLC00571,Sebastopolis,cohort,,Cohors prima Claudia equitata,Dux Armeniae,Oriens
PLC00072,Secundarum,cuneus,,Cuneus equitum Italicianorum,Dux Pannoniae,Occidentis
PLC00597,Securisca,cuneus,,Cuneus equitum scutariorum,Dux Moesiae secundae,Oriens
PLC00337,sed adiutorem de scola notariorum,unknown,,Officium autem non habet,Primicerius notariorum,Oriens
PLC00326,sed adiutores de scriniis quos voluerit,unknown,,Officium non habet,Insignia viri illustris quaestoris,Oriens
PLC00341,sed adiutores electos de scriniis,unknown,,Officium autem de ipsi nemo habet,Magistri scriniorum. MemoriaeÝÝ EpistolarumÝÝ LibellorumÝÝ Graecarum,Oriens
PLC00310,sed ipse emittit,unknown,Praefectus,praetorio Orientis euectiones annuales non habet,Sub dispositione viri illustris praefecti praetorio per Orientem sunt dioceses infrascriptae:,Oriens
PLC00224,Segeduno,unknown,Tribunus,cohortis quartae Lingonum,Dux Britanniarum,Occidentis
PLC00358,Selle,ala,,Ala prima Aegyptiorum,Comes limitis Aegypti,Oriens
PLC00446,Serianae,equites,,Equites scutarii Illyriciani,Dux Syriae,Oriens
PLC00099,Seruitii,unknown,Praefectus,classis primae Pannonicae,Dux Pannoniae,Occidentis
