placeId,sourceNodeId,occurrenceId,placeName,pleiadesId,pleiadesName,latitude,longitude,featureType,document,chapter,office,unit,sourceLine,matchType,confidence,contextStatus,gisProvince,expectedProvince,hardProvince,softProvince,region
OCC000152,,OCC000152,Tauruno,207488,Taurunum,44.835966,20.411502,unknown,Occidentis,Dux Pannoniae,,Auxilia ascarii,1244,EXACT_NO_CONTEXT,confirmed,SOFT_MISMATCH,MOESIA SUPERIOR,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000153,,OCC000153,Marsonia,197371,Marsonia,45.161708,18.018769,unknown,Occidentis,Dux Pannoniae,,Auxilia ascarii,1244,CONTEXT_EXACT,confirmed,SOFT_MATCH,SAVIA,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000155,,OCC000155,Burgenas,207001,Burgenae,44.949991,20.283336,unknown,Occidentis,Dux Pannoniae,Praefectus,legionis quintae Ioviae,1247,CONTEXT_EXACT,confirmed,SOFT_MATCH,PANNONIA INFERIOR,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000157,,OCC000157,in castello Onagrino,207320,Onagrinum,45.236152,19.624394,unknown,Occidentis,Dux Pannoniae,Praefectus,legionis quintae Ioviae et sextae Herculeae,1249,CONTEXT_EXACT,confirmed,SOFT_MATCH,PANNONIA INFERIOR,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000158,,OCC000158,Sirmi,383781,Sirmio,45.492485,10.60805,settlement,Occidentis,Dux Pannoniae,Praefectus,militum Calcariensium,1250,EXACT_NO_CONTEXT,confirmed,SOFT_MISMATCH,VENETIA ET HISTRIA,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000159,,OCC000159,Sirmi,383781,Sirmio,45.492485,10.60805,settlement,Occidentis,Dux Pannoniae,Praefectus,classis primae Flaviae Augustae,1251,EXACT_NO_CONTEXT,confirmed,SOFT_MISMATCH,VENETIA ET HISTRIA,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000161,,OCC000161,Mursae,197389,Mursa,45.560018,18.675749,unknown,Occidentis,Dux Pannoniae,Praefectus,classis Histricae,1253,CONTEXT_EXACT,confirmed,SOFT_MATCH,PANNONIA INFERIOR,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000162,,OCC000162,Sirmi,383781,Sirmio,45.492485,10.60805,settlement,Occidentis,Dux Pannoniae,,Ala Sirmensis,1255,EXACT_NO_CONTEXT,confirmed,SOFT_MISMATCH,VENETIA ET HISTRIA,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000163,,OCC000163,Seruitii,197509,Servitium,45.151471,17.25609,unknown,Occidentis,Dux Pannoniae,Praefectus,classis primae Pannonicae,1256,CONTEXT_FUZZY,confirmed,SOFT_MATCH,SAVIA,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000165,,OCC000165,Sisciae,197504,Siscia,45.483168,16.371388,unknown,Occidentis,Dux Pannoniae,Tribunus,cohortis tertiae Alpinorum,1258,CONTEXT_EXACT,confirmed,SOFT_MATCH,SAVIA,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000169,,OCC000169,Intercisa,197323,Intercisa,46.974661,18.937209,unknown,Occidentis,Dux provinciae Valeriae,,Cuneus equitum Dalmatarum,1275,CONTEXT_NEAR_EXACT,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
OCC000170,,OCC000170,Lusionio,197362,Lussonium,46.656784,18.881709,unknown,Occidentis,Dux provinciae Valeriae,,Cuneus equitum Constantianorum,1276,,confirmed,SOFT_NEAR_MATCH,,Valeriae ripensis,,Valeriae ripensis,
