occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText
OCC000074,Occidentis,Comes Africae,1080,Montensis,limes,Praepositus,limitis Montensis in castris Leptitanis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000075,Occidentis,Comes Africae,1080,Leptitanis,castris,Praepositus,limitis Montensis in castris Leptitanis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000076,Occidentis,Comes Africae,1081,Bazensis,limes,Praepositus,limitis Bazensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000077,Occidentis,Comes Africae,1082,Gemellensis,limes,Praepositus,limitis Gemellensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000078,Occidentis,Comes Africae,1083,Tubuniensis,limes,Praepositus,limitis Tubuniensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000079,Occidentis,Comes Africae,1084,Zabensis,limes,Praepositus,limitis Zabensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000080,Occidentis,Comes Africae,1085,Tubusubditani,limes,Praepositus,limitis Tubusubditani,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000081,Occidentis,Comes Africae,1086,Thamallomensis,limes,Praepositus,limitis Thamallomensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000082,Occidentis,Comes Africae,1087,Balaretensis,limes,Praepositus,limitis Balaretensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000083,Occidentis,Comes Africae,1088,Columnatensis,limes,Praepositus,limitis Columnatensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000084,Occidentis,Comes Africae,1089,Tablatensis,limes,Praepositus,limitis Tablatensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000085,Occidentis,Comes Africae,1090,Caputcellensis,limes,Praepositus,limitis Caputcellensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000086,Occidentis,Comes Africae,1091,Secundaeforum,limes,Praepositus,limitis Secundaeforum in castris Tillibanensibus,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
OCC000087,Occidentis,Comes Africae,1091,Tillibanensibus,castris,Praepositus,limitis Secundaeforum in castris Tillibanensibus,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
